name,SW,HMM,HD,HMM_corrected
VC_0506,NE,NE,0,NE
VC_0507,n/a,NE,1,NE
VC_0508,NE,NE,0,NE
VC_0509,NE,NE,0,NE
VC_0510,NE,NE,0,NE
VC_0511,Absent Gene,,,Absent Gene
VC_0512,Absent Gene,,,Absent Gene
VC_0513,Absent Gene,,,Absent Gene
VC_0514,Absent Gene,,,Absent Gene
VC_0515,Absent Gene,,,Absent Gene
VC_0516,D,D,0,D
VC_0517,E,E,1,E
VC_0518,E,E,1,E
VC_0519,NE,E,0,E
VC_0520,n/a,E,1,E
VC_0521,E,E,1,E
VC_0522,NE,NE,0,NE
VC_0523,NE,NE,0,NE
VC_0524,n/a,E,1,E
VC_0525,NE,NE,0,NE
VC_0526,NE,NE,0,NE
VC_0527,E,E,1,E
VC_0528,E,E,1,E
VC_0529,D,E,1,E
VC_0530,NE,NE,0,NE
VC_0531,NE,NE,0,NE
VC_0532,NE,NE,0,NE
VC_0533,NE,NE,0,NE
VC_0534,NE,NE,0,NE
VC_0535,NE,NE,0,NE
VC_0536,n/a,NE,0,NE
VC_0537,NE,NE,0,NE
VC_0538,NE,NE,0,NE
VC_0539,NE,NE,0,NE
VC_0540,NE,NE,0,NE
VC_0541,NE,NE,0,NE
VC_0542,NE,NE,0,NE
VC_0543,NE,NE,0,NE
VC_0544,NE,NE,0,NE
VC_0545,E,E,1,E
VC_0546,n/a,NE,0,NE
VC_0547,NE,NE,0,NE
VC_0548,n/a,D,1,D
VC_0549,NE,NE,0,NE
VC_0550,NE,NE,0,NE
VC_0551,NE,NE,0,NE
VC_0552,NE,NE,0,NE
VC_0553,NE,NE,0,NE
VC_0554,NE,NE,0,NE
VC_0555,n/a,NE,0,NE
VC_0556,NE,NE,0,NE
VC_0557,NE,NE,0,NE
VC_0558,NE,NE,0,NE
VC_0559,NE,NE,0,NE
VC_0560,E,E,1,E
VC_0561,E,E,1,E
VC_0562,E,E,1,E
VC_0563,n/a,E,1,E
VC_0564,E,E,1,E
VC_0565,D,S,1,S
VC_0566,NE,NE,0,NE
VC_0567,NE,NE,0,NE
VC_0568,NE,NE,0,NE
VC_0569,n/a,S,0,S
VC_0570,E,E,1,E
VC_0571,E,E,1,E
VC_0572,n/a,S,0,S
VC_0573,NE,NE,0,NE
VC_0574,NE,NE,0,NE
VC_0575,NE,NE,0,NE
VC_0576,D,NE,0,NE
VC_0577,NE,NE,0,NE
VC_0578,D,NE,0,NE
VC_0579,NE,NE,0,NE
VC_0580,NE,NE,0,NE
VC_0581,NE,NE,0,NE
VC_0582,NE,NE,0,NE
VC_0583,NE,NE,0,NE
VC_0584,n/a,NE,0,NE
VC_0585,NE,NE,0,NE
VC_0586,NE,NE,0,NE
VC_0587,NE,NE,0,NE
VC_0588,n/a,NE,0,NE
VC_0589,NE,NE,0,NE
VC_0590,NE,NE,0,NE
VC_0591,E,E,1,E
VC_0592,D,E,1,E
VC_0593,E,E,1,E
VC_0594,NE,NE,0,NE
VC_0595,NE,NE,0,NE
VC_0596,NE,NE,0,NE
VC_0597,NE,NE,0,NE
VC_0598,n/a,NE,0,NE
VC_0599,n/a,NE,0,NE
VC_0600,NE,NE,0,NE
VC_0601,NE,NE,0,NE
VC_0602,NE,NE,0,NE
VC_0603,NE,NE,0,NE
VC_0604,NE,NE,0,NE
VC_0605,NE,NE,0,NE
VC_0606,NE,NE,0,NE
VC_0607,NE,NE,0,NE
VC_0608,NE,NE,0,NE
VC_0609,NE,NE,0,NE
VC_0610,NE,NE,0,NE
VC_0611,NE,NE,0,NE
VC_0612,NE,NE,0,NE
VC_0613,NE,NE,0,NE
VC_0614,NE,NE,0,NE
VC_0615,NE,NE,0,NE
VC_0616,NE,NE,0,NE
VC_0617,NE,NE,0,NE
VC_0618,NE,NE,0,NE
VC_0619,NE,NE,0,NE
VC_0620,NE,NE,0,NE
VC_0621,NE,NE,0,NE
VC_0622,NE,NE,0,NE
VC_0623,NE,NE,0,NE
VC_0624,NE,NE,0,NE
VC_0625,n/a,NE,0,NE
VC_0626,D,E,1,E
VC_0627,E,E,1,E
VC_0628,NE,NE,0,NE
VC_0629,NE,NE,0,NE
VC_0630,NE,NE,0,NE
VC_0631,E,E,1,E
VC_0632,D,NE,0,NE
VC_0633,D,NE,0,NE
VC_0634,NE,NE,0,NE
VC_0635,NE,NE,0,NE
VC_0636,NE,NE,0,NE
VC_0637,E,E,1,E
VC_0638,E,E,1,E
VC_0639,E,E,1,E
VC_0640,D,NE,1,NE
VC_0641,D,E,1,E
VC_0642,D,D,1,D
VC_0643,D,E,1,E
VC_0644,D,D,1,D
VC_0645,NE,NE,0,NE
VC_0646,E,D,1,D
VC_0647,NE,S,0,S
VC_0648,D,NE,0,NE
VC_0649,NE,D,1,D
VC_0650,NE,NE,0,NE
VC_0651,NE,NE,0,NE
VC_0652,NE,NE,0,NE
VC_0653,NE,NE,0,NE
VC_0654,NE,NE,0,NE
VC_0655,NE,NE,0,NE
VC_0656,NE,NE,0,NE
VC_0657,NE,NE,0,NE
VC_0658,NE,NE,0,NE
VC_0659,NE,NE,0,NE
VC_0660,NE,NE,0,NE
VC_0661,NE,NE,0,NE
VC_0662,NE,NE,0,NE
VC_0663,E,E,1,E
VC_0664,E,E,1,E
VC_0665,NE,NE,0,NE
VC_0666,NE,NE,0,NE
VC_0667,NE,NE,0,NE
VC_0668,NE,NE,0,NE
VC_0669,n/a,S,1,S
VC_0670,n/a,S,0,S
VC_0671,D,S,0,S
VC_0672,NE,NE,0,NE
VC_0673,NE,NE,0,NE
VC_0674,E,E,1,E
VC_0675,E,E,1,E
VC_0676,NE,NE,0,NE
VC_0677,NE,NE,0,NE
VC_0678,NE,NE,0,NE
VC_0679,E,E,1,E
VC_0680,E,E,1,E
VC_0681,E,E,1,E
VC_0682,E,E,1,E
VC_0683,E,E,1,E
VC_0684,NE,NE,0,NE
VC_0685,D,E,1,E
VC_0686,n/a,NE,0,NE
VC_0687,NE,NE,0,NE
VC_0688,NE,NE,0,NE
VC_0689,NE,NE,0,NE
VC_0690,NE,NE,0,NE
VC_0691,NE,NE,0,NE
VC_0692,NE,NE,0,NE
VC_0693,NE,NE,0,NE
VC_0694,NE,NE,0,NE
VC_0695,NE,NE,0,NE
VC_0696,NE,NE,0,NE
VC_0697,NE,NE,0,NE
VC_0698,NE,NE,0,NE
VC_0699,n/a,NE,0,NE
VC_0700,D,NE,0,NE
VC_0701,NE,NE,0,NE
VC_0702,NE,NE,0,NE
VC_0703,NE,NE,0,NE
VC_0704,NE,NE,0,NE
VC_0705,NE,NE,0,NE
VC_0706,NE,NE,0,NE
VC_0707,n/a,NE,0,NE
VC_0708,E,D,1,D
VC_0709,NE,NE,0,NE
VC_0710,NE,NE,0,NE
VC_0711,NE,NE,0,NE
VC_0712,Duplicated Gene,,,Duplicated Gene
VC_0713,Duplicated Gene,,,Duplicated Gene
VC_0714,NE,NE,0,NE
VC_0715,NE,NE,0,NE
VC_0716,NE,NE,0,NE
VC_0717,NE,NE,0,NE
VC_0718,NE,NE,0,NE
VC_0719,NE,NE,0,NE
VC_0720,NE,NE,0,NE
VC_0721,NE,NE,0,NE
VC_0722,NE,NE,0,NE
VC_0723,NE,NE,0,NE
VC_0724,NE,NE,0,NE
VC_0725,D,NE,0,NE
VC_0726,NE,NE,0,NE
VC_0727,NE,NE,0,NE
VC_0728,NE,NE,0,NE
VC_0729,n/a,NE,0,NE
VC_0730,NE,NE,0,NE
VC_0731,D,D,1,D
VC_0732,NE,NE,0,NE
VC_0733,n/a,S,1,S
VC_0734,NE,NE,0,NE
VC_0735,n/a,NE,0,NE
VC_0736,NE,NE,0,NE
VC_0737,NE,NE,0,NE
VC_0738,n/a,NE,0,NE
VC_0739,NE,NE,0,NE
VC_0740,NE,NE,0,NE
VC_0741,NE,NE,0,NE
VC_0742,NE,NE,0,NE
VC_0743,NE,NE,0,NE
VC_0744,NE,NE,0,NE
VC_0745,NE,NE,0,NE
VC_0746,NE,NE,0,NE
VC_0747,NE,NE,0,NE
VC_0748,E,E,1,E
VC_0749,E,E,1,E
VC_0750,n/a,E,1,E
VC_0751,E,E,1,E
VC_0752,D,D,1,D
VC_0753,D,S,1,S
VC_0754,n/a,S,1,S
VC_0755,NE,NE,0,NE
VC_0756,NE,NE,0,NE
VC_0757,NE,NE,0,NE
VC_0758,D,D,1,D
VC_0759,E,E,1,E
VC_0760,D,E,1,E
VC_0761,NE,NE,0,NE
VC_0762,D,S,1,S
VC_0763,E,E,1,E
VC_0764,NE,NE,0,NE
VC_0765,NE,NE,0,NE
VC_0766,NE,NE,0,NE
VC_0767,NE,NE,0,NE
VC_0768,NE,NE,0,NE
VC_0769,NE,NE,0,NE
VC_0770,NE,NE,0,NE
VC_0771,NE,NE,0,NE
VC_0772,NE,NE,0,NE
VC_0773,NE,NE,0,NE
VC_0774,NE,NE,0,NE
VC_0775,D,NE,0,NE
VC_0776,NE,NE,0,NE
VC_0777,NE,NE,0,NE
VC_0778,NE,NE,0,NE
VC_0779,NE,NE,0,NE
VC_0780,NE,NE,0,NE
VC_0781,NE,NE,0,NE
VC_0782,n/a,NE,0,NE
VC_0783,NE,NE,0,NE
VC_0784,NE,NE,0,NE
VC_0785,n/a,E,1,E
VC_0786,NE,NE,0,NE
VC_0787,NE,NE,0,NE
VC_0788,NE,NE,0,NE
VC_0789,NE,NE,0,NE
VC_0790,NE,NE,0,NE
VC_0791,D,NE,0,NE
VC_0792,NE,NE,0,NE
VC_0793,NE,NE,0,NE
VC_0794,NE,NE,0,NE
VC_0795,NE,NE,0,NE
VC_0796,D,S,1,S
VC_0797,NE,NE,0,NE
VC_0798,NE,NE,0,NE
VC_0799,NE,NE,0,NE
VC_0800,NE,NE,0,NE
VC_0801,NE,NE,0,NE
VC_0802,NE,NE,0,NE
VC_0803,NE,NE,0,NE
VC_0804,NE,NE,0,NE
VC_0805,n/a,NE,0,NE
VC_0806,NE,NE,0,NE
VC_0807,NE,NE,0,NE
VC_0808,n/a,NE,0,NE
VC_0809,NE,NE,0,NE
VC_0810,D,S,1,S
VC_0811,E,S,1,S
VC_0812,NE,NE,0,NE
VC_0813,NE,NE,0,NE
VC_0814,D,S,0,S
VC_0815,NE,NE,0,NE
VC_0816,n/a,NE,0,NE
VC_0817,NE,NE,0,NE
VC_0818,NE,NE,0,NE
VC_0819,D,D,1,D
VC_0820,D,D,1,D
VC_0821,E,E,1,E
VC_0822,D,D,1,D
VC_0823,D,S,1,S
VC_0824,NE,NE,0,NE
VC_0825,NE,NE,0,NE
VC_0826,NE,NE,0,NE
VC_0827,NE,NE,0,NE
VC_0828,NE,NE,0,NE
VC_0829,D,S,0,S
VC_0830,NE,S,0,S
VC_0831,D,S,0,S
VC_0832,E,E,1,E
VC_0833,E,E,1,E
VC_0834,E,E,1,E
VC_0835,D,S,1,S
VC_0836,D,S,1,S
VC_0837,D,S,0,S
VC_0838,E,E,1,E
VC_0839,D,D,1,D
VC_0840,D,S,1,S
VC_0841,NE,S,0,S
VC_0842,E,E,1,E
VC_0843,D,D,0,D
VC_0844,E,E,1,E
VC_0845,D,D,0,D
VC_0846,NE,NE,0,NE
VC_0847,NE,NE,0,NE
VC_0848,NE,NE,0,NE
VC_0849,n/a,E,1,E
VC_0850,E,E,1,E
VC_0851,NE,NE,0,NE
VC_0852,NE,NE,0,NE
VC_0853,E,E,1,E
VC_0854,n/a,E,1,E
VC_0855,E,E,1,E
VC_0856,D,E,1,E
VC_0857,NE,NE,0,NE
VC_0858,NE,NE,0,NE
VC_0859,NE,NE,0,NE
VC_0860,D,S,0,S
VC_0861,NE,NE,0,NE
VC_0862,NE,NE,0,NE
VC_0863,D,NE,0,NE
VC_0864,D,D,1,D
VC_0865,n/a,NE,0,NE
VC_0866,NE,NE,0,NE
VC_0867,n/a,NE,0,NE
VC_0868,n/a,NE,0,NE
VC_0869,NE,NE,0,NE
VC_0870,D,D,1,D
VC_0871,n/a,NE,0,NE
VC_0872,n/a,NE,0,NE
VC_0873,NE,NE,0,NE
VC_0874,n/a,NE,0,NE
VC_0875,E,E,1,E
VC_0876,NE,NE,0,NE
VC_0877,n/a,S,1,S
VC_0878,NE,NE,0,NE
VC_0879,n/a,NE,0,NE
VC_0880,NE,NE,0,NE
VC_0881,NE,NE,0,NE
VC_0882,NE,NE,0,NE
VC_0883,n/a,NE,1,NE
VC_0884,NE,NE,0,NE
VC_0885,NE,NE,0,NE
VC_0886,NE,NE,0,NE
VC_0887,NE,NE,0,NE
VC_0888,NE,NE,0,NE
VC_0889,D,E,1,E
VC_0890,E,E,1,E
VC_0891,NE,NE,0,NE
VC_0892,NE,NE,0,NE
VC_0893,NE,NE,0,NE
VC_0894,NE,NE,0,NE
VC_0895,n/a,NE,0,NE
VC_0896,NE,NE,0,NE
VC_0897,NE,NE,0,NE
VC_0898,NE,NE,0,NE
VC_0899,NE,NE,0,NE
VC_0900,NE,NE,0,NE
VC_0901,D,NE,0,NE
VC_0902,NE,NE,0,NE
VC_0903,NE,NE,0,NE
VC_0904,NE,NE,0,NE
VC_0905,NE,NE,0,NE
VC_0906,NE,NE,0,NE
VC_0907,NE,NE,0,NE
VC_0908,NE,NE,0,NE
VC_0909,NE,NE,0,NE
VC_0910,NE,NE,0,NE
VC_0911,D,S,0,S
VC_0912,n/a,S,0,S
VC_0913,NE,NE,0,NE
VC_0914,NE,NE,0,NE
VC_0915,n/a,NE,0,NE
VC_0916,NE,NE,0,NE
VC_0917,NE,NE,0,NE
VC_0918,NE,NE,0,NE
VC_0919,NE,NE,0,NE
