Gene_ID,Input_Reads_count_Normalized,Output_Reads_count_Normalized,P_Value,FC_IO,FC_OI
VC0808,8968,7258,0.073746794,1.24,0.8093
VC1122,10093,8142,0.002500064,1.24,0.8067
VC1139,9271,7486,0.441280417,1.24,0.8075
VC1598,6759,5441,0.601288699,1.24,0.8051
VC1967,11003,8866,0.041909463,1.24,0.8057
VC2013,7197,5795,0.113994313,1.24,0.8052
VC2272,19875,16082,0.417424986,1.24,0.8091
VC2425,17922,14419,0.007975262,1.24,0.8046
VC2650,24444,19673,0.038293447,1.24,0.8048
VCA0448,5468,4421,0.167965938,1.24,0.8086
VCA0568,11946,9620,0.033471461,1.24,0.8053
VCA0937,7117,5727,0.283680313,1.24,0.8047
VCA0957,6878,5551,0.127230141,1.24,0.8071
VCA0999,8942,7239,0.092287713,1.24,0.8095
VC0209,21156,17252,0.00515229,1.23,0.8155
VC0320,24318,19846,0.696053187,1.23,0.8161
VC0951,6790,5525,0.070364867,1.23,0.8137
VC1999,5241,4272,0.38200821,1.23,0.8152
VC2300,18867,15307,0.369497168,1.23,0.8113
VC2521,15162,12296,0.511896729,1.23,0.811
VC2722,4858,3964,0.292730762,1.23,0.8161
VCA0038,11266,9156,0.053509143,1.23,0.8128
VCA0068,13146,10728,0.052956357,1.23,0.8161
VCA0116,8393,6842,0.542095048,1.23,0.8152
VCA0205,16945,13760,0.206586884,1.23,0.812
VCA0788,13505,11021,0.404972321,1.23,0.8161
VCA0894,9329,7575,0.342399525,1.23,0.8119
VC0202,20702,17015,0.00663363,1.22,0.8219
VC0439,9491,7798,0.106394398,1.22,0.8217
VC0904,7782,6382,0.959211067,1.22,0.8201
VC1532,10325,8454,0.099003827,1.22,0.8188
VC1618,13561,11153,0.091061484,1.22,0.8224
VC1692,12904,10550,0.080070193,1.22,0.8176
VC1746,13539,11075,0.325513452,1.22,0.818
VC2393,12526,10289,0.04009365,1.22,0.8214
VC2558,24658,20274,0.265329586,1.22,0.8222
VCA0158,14223,11637,0.131716608,1.22,0.8181
VCA0243,17724,14513,0.001359809,1.22,0.8188
VCA0549,9427,7699,0.664725782,1.22,0.8166
VC0228,9299,7699,0.509774888,1.21,0.8279
VC0580,12727,10560,0.151007068,1.21,0.8298
VC1795,2356,1941,0.569233408,1.21,0.8239
VC2212,8874,7323,0.6840902,1.21,0.8253
VC2237,20064,16516,0.085000338,1.21,0.8232
VC2550,20652,17130,0.103709921,1.21,0.8295
VCA0064,11452,9432,0.228372357,1.21,0.8236
VCA0534,13613,11295,0.075357806,1.21,0.8297
VCA0656,14123,11637,0.050058357,1.21,0.824
VCA1004,11514,9504,0.040547181,1.21,0.8254
VC1036,15233,12728,0.010407097,1.2,0.8356
VC1087,9073,7574,0.067934598,1.2,0.8347
VC1316,12131,10118,0.163433893,1.2,0.834
VC1554,26285,21990,0.111606982,1.2,0.8366
VC1619.1,13249,11000,0.694328345,1.2,0.8302
VC2046,9689,8051,1.38197E-05,1.2,0.8309
VCA0386,5,4,0.360932415,1.2,0.8316
VCA0498,7576,6321,0.028880098,1.2,0.8344
VCA0776,10907,9084,0.009435156,1.2,0.8328
VCA0898,9699,8115,0.002374384,1.2,0.8367
VCA0940,9462,7904,0.14343688,1.2,0.8354
VC0151,11666,9808,0.728226928,1.19,0.8407
VC0597,16216,13680,0.474882188,1.19,0.8436
VC0800,15028,12596,0.629679803,1.19,0.8382
VC0940,15650,13152,0.444299792,1.19,0.8404
VC1366,6099,5115,0.054440987,1.19,0.8386
VC1539,8976,7527,0.252481658,1.19,0.8386
VC1993,12993,10892,0.21768029,1.19,0.8383
VC2356,16872,14174,0.582147263,1.19,0.8401
VC2627,24039,20138,0.506579085,1.19,0.8377
VCA0594,9383,7875,0.489437699,1.19,0.8393
VCA0631,11727,9871,0.017309244,1.19,0.8417
VCA0680,9753,8226,0.171377885,1.19,0.8435
VCA0809,9332,7833,0.062746633,1.19,0.8393
VCA0997,7277,6139,0.026591439,1.19,0.8435
VC1153,11171,9469,0.098618588,1.18,0.8476
VC1213,12733,10795,0.038643988,1.18,0.8478
VC1619.1.1,11953,10142,0.601431275,1.18,0.8485
VC1669,15884,13433,0.749102163,1.18,0.8457
VC1977,19738,16762,0.392755218,1.18,0.8493
VC2683,18863,15920,0.304879261,1.18,0.844
VC2748,8618,7295,0.000965221,1.18,0.8465
VCA0011,11561,9811,0.081019066,1.18,0.8487
VCA0231,10487,8887,0.148855194,1.18,0.8474
VCA0639,15571,13155,0.419073228,1.18,0.8448
VCA0829,14851,12636,0.112757684,1.18,0.8509
VC0534,14809,12702,0.323014899,1.17,0.8577
VC0670,9397,8011,0.152439196,1.17,0.8525
VC0873,18305,15684,0.457685307,1.17,0.8568
VC1154,12942,11080,0.11457692,1.17,0.8561
VC1689,10155,8666,0.595876445,1.17,0.8534
VC2100,9498,8084,0.793256088,1.17,0.8512
VC2191,2818,2399,0.067834625,1.17,0.8515
VCA0091,10346,8871,0.001276245,1.17,0.8575
VCA0638,8066,6881,0.344444986,1.17,0.8531
VCA0654,6656,5683,0.317803257,1.17,0.8538
VC0423,22473,19407,0.478608745,1.16,0.8636
VC0996,10321,8920,0.793702443,1.16,0.8643
VC1363,8716,7527,0.437360752,1.16,0.8635
VC1442,11320,9722,0.548379817,1.16,0.8589
VC1892,4656,4024,0.441092661,1.16,0.8643
VC1933,7879,6793,0.519488402,1.16,0.8622
VC2114,13807,11921,0.443551607,1.16,0.8634
VC2350,9556,8264,0.094040869,1.16,0.8648
VC2351,16530,14298,0.85283285,1.16,0.8649
VC2442,7189,6190,0.533349511,1.16,0.8611
VC2690,17897,15387,0.027985103,1.16,0.8598
VCA0010,8193,7044,0.142127521,1.16,0.8597
VCA0098,13223,11413,0.164091433,1.16,0.8631
VCA0258,15313,13182,0.468434386,1.16,0.8608
VCA0263,15862,13656,2.50761E-05,1.16,0.8609
VC0075,9695,8411,0.181025528,1.15,0.8676
VC0173,18093,15769,0.604175617,1.15,0.8716
VC0826,7550,6590,0.151871654,1.15,0.8728
VC1664,8917,7741,0.29138566,1.15,0.8681
VC1775,8384,7281,0.826682951,1.15,0.8684
VC1831,8584,7435,0.763587312,1.15,0.8661
VC2119,4913,4270,0.158082037,1.15,0.869
VC2634,8524,7414,0.337188409,1.15,0.8698
VC2700,16684,14491,0.170625435,1.15,0.8685
VC2703,25609,22201,0.642297464,1.15,0.8669
VCA0150,19701,17073,0.183623158,1.15,0.8666
VCA0483,4997,4355,0.000556788,1.15,0.8716
VCA0818,10922,9507,0.607594026,1.15,0.8704
VCA0891,8437,7335,0.216323503,1.15,0.8693
VC0402,23570,20686,5.81292E-06,1.14,0.8777
VC0600,4200,3691,0.587926008,1.14,0.8789
VC0782,7748,6774,0.821717015,1.14,0.8743
VC0874,4577,4003,0.72727934,1.14,0.8747
VC1525,10719,9414,0.084057696,1.14,0.8782
VC1609,10184,8920,0.080977645,1.14,0.8759
VC1812,1170,1030,0.352606754,1.14,0.88
VC1979,15629,13715,0.254427157,1.14,0.8775
VC2286,8048,7032,0.564204767,1.14,0.8738
VC2484,13436,11796,0.548440596,1.14,0.878
VCA0611,8281,7290,0.117614548,1.14,0.8802
VCA0819,7246,6337,0.98831163,1.14,0.8745
VCA0913,11052,9656,0.625845569,1.14,0.8736
VCA1013,13765,12030,0.747390969,1.14,0.8739
VCA1063,13884,12189,0.246862446,1.14,0.8779
VC0099,17243,15233,0.754833384,1.13,0.8834
VC0907,16180,14268,0.132985914,1.13,0.8818
VC1874,17158,15237,0.284506172,1.13,0.8881
VC2055,5291,4670,0.248612873,1.13,0.8826
VC2166,13549,11955,0.54436893,1.13,0.8824
VC2502,28627,25245,0.742814362,1.13,0.8819
VC2624,24916,21988,0.103884353,1.13,0.8825
VCA0632,11018,9758,0.220732602,1.13,0.8857
VCA0749,6798,6006,0.34882428,1.13,0.8835
VCA0981,9533,8446,0.222800597,1.13,0.886
VCA1069,24908,21999,0.308157569,1.13,0.8832
VCA1089,16462,14557,0.004572582,1.13,0.8843
VC0522,17111,15307,0.09836058,1.12,0.8946
VC0746,15972,14210,0.089019575,1.12,0.8897
VC0915,1334,1187,0.34392098,1.12,0.8903
VC1284,9088,8135,0.884533567,1.12,0.8951
VC1306,11663,10448,0.544169178,1.12,0.8959
